"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"43116","NaN","NaN","NaN","$0.55","$2.49","$4.43","$8.41"
"43116","NaN","NaN","NaN","$0.55","$2.49","$4.43","$8.41"
"44518","NaN","NaN","NaN","$0.55","$2.49","$4.71","$8.41"
"44517","NaN","NaN","NaN","$0.55","$2.49","$4.71","$8.41"
"44523","NaN","NaN","NaN","$0.55","$2.69","$4.71","$8.41"
"44524","NaN","NaN","NaN","$0.55","$2.69","$4.71","$8.41"
"46168","NaN","NaN","NaN","$0.55","$2.69","$4.71","$8.98"
"46168","NaN","NaN","NaN","$0.55","$2.69","$4.71","$8.98"
"46823","NaN","NaN","NaN","$0.55","$2.69","$4.71","$8.98"
"47574","NaN","NaN","NaN","$0.55","$2.69","$5.85","$8.98"
"47574","NaN","NaN","NaN","$0.55","$2.69","$5.85","$8.98"
"49197","NaN","NaN","NaN","$0.62","$3.02","$5.85","$9.55"
"49198","NaN","NaN","NaN","$0.62","$3.02","$5.85","$9.55"
"49216","NaN","NaN","NaN","$0.62","$3.02","$5.85","$9.55"
"49216","NaN","NaN","NaN","$0.62","$3.02","$5.85","$9.55"
"49198","NaN","NaN","NaN","$0.62","$3.02","$5.85","$9.55"
"50611","NaN","NaN","NaN","$0.62","$3.02","$6.30","$9.55"
"50612","NaN","NaN","NaN","$0.62","$3.02","$6.30","$9.55"
"52279","NaN","NaN","NaN","$0.62","$3.02","$6.30","$11.02"
"52279","NaN","NaN","NaN","$0.62","$3.02","$6.30","$11.02"
"52279","NaN","NaN","NaN","$0.62","$3.02","$6.30","$11.02"
"53674","NaN","NaN","NaN","$0.62","$3.02","$10.74","$11.02"
"53674","NaN","NaN","NaN","$0.62","$3.02","$10.74","$11.02"
"55317","NaN","NaN","NaN","$0.62","$3.81","$10.74","$12.28"
"55329","NaN","NaN","NaN","$0.68","$3.81","$10.74","$12.28"
"55317","NaN","NaN","NaN","$0.68","$3.81","$10.74","$12.28"
"55337","NaN","NaN","NaN","$0.68","$3.81","$10.74","$12.28"
"55338","NaN","NaN","NaN","$0.68","$3.81","$10.74","$12.28"
"56730","NaN","NaN","NaN","$0.68","$3.81","$10.74","$12.28"
"58368","NaN","NaN","NaN","$0.68","$3.81","$10.74","$17.58"
"58387","NaN","NaN","NaN","$0.96","$3.81","$10.74","$17.58"
"58389","NaN","NaN","NaN","$0.96","$3.81","$10.74","$17.58"
"58389","NaN","NaN","NaN","$0.96","$3.81","$10.74","$17.58"
"59888","NaN","NaN","NaN","$0.96","$3.81","$15.23","$17.58"
"59889","NaN","NaN","NaN","$0.96","$5.20","$15.23","$17.58"
"59888","NaN","NaN","NaN","$0.96","$5.20","$15.23","$17.58"
"60411","NaN","NaN","NaN","$0.96","$5.20","$15.23","$17.58"
"60414","NaN","NaN","NaN","$0.98","$5.20","$15.23","$17.58"
"61422","NaN","NaN","NaN","$0.98","$5.20","$15.23","$17.58"
"61422","NaN","NaN","NaN","$0.98","$5.20","$15.23","$17.58"
"61943","NaN","NaN","NaN","$1.08","$5.20","$15.23","$17.58"
"61948","NaN","NaN","NaN","$1.08","$5.20","$15.23","$17.58"
"62936","NaN","NaN","NaN","$1.08","$5.20","$15.23","$17.58"
"62941","NaN","NaN","NaN","$1.08","$5.49","$15.23","$17.58"
"63176","NaN","NaN","NaN","$1.15","$5.49","$15.23","$17.58"
"63180","NaN","NaN","NaN","$1.15","$5.49","$15.23","$17.58"
"63964","NaN","NaN","NaN","$1.15","$5.49","$12.21","$32.01"
"63964","NaN","NaN","NaN","$1.15","$5.49","$12.21","$32.01"
"64402","NaN","NaN","NaN","$1.22","$5.49","$12.21","$32.01"
"64403","NaN","NaN","NaN","$1.22","$5.49","$12.21","$32.01"
"64483","NaN","NaN","NaN","$1.22","$5.49","$12.21","$32.01"
"64483","NaN","NaN","NaN","$1.22","$5.49","$12.21","$32.01"
"65243","NaN","NaN","NaN","$1.22","$5.49","$12.21","$32.01"
"65247","NaN","NaN","NaN","$1.22","$5.55","$12.21","$32.01"
"65625","NaN","NaN","NaN","$1.42","$5.55","$12.21","$32.01"
"65625","NaN","NaN","NaN","$1.42","$5.55","$12.21","$32.01"
"66855","NaN","NaN","NaN","$1.58","$5.55","$12.21","$32.01"
"66861","NaN","NaN","NaN","$1.58","$5.55","$12.21","$32.01"
"67023","NaN","NaN","NaN","$1.58","$5.55","$12.21","$29.27"
"67023","NaN","NaN","NaN","$1.58","$5.55","$18.15","$29.27"
"67093","NaN","NaN","NaN","$1.58","$5.67","$18.15","$29.27"
"67094","NaN","NaN","NaN","$1.58","$5.67","$18.15","$29.27"
"67549","NaN","NaN","NaN","$1.58","$5.67","$18.15","$29.27"
"67553","NaN","NaN","NaN","$1.58","$5.67","$18.15","$29.27"
"68393","NaN","NaN","NaN","$2.24","$5.67","$18.15","$29.27"
"68394","NaN","NaN","NaN","$2.24","$5.67","$18.15","$29.27"
"68941","NaN","NaN","NaN","$2.24","$9.19","$18.15","$29.27"
"68938","NaN","NaN","NaN","$2.24","$9.19","$18.15","$29.27"
"69464","NaN","NaN","NaN","$2.24","$9.19","$17.17","$34.06"
"69466","NaN","NaN","NaN","$2.24","$9.19","$17.17","$34.06"
"70432","NaN","NaN","NaN","$2.25","$9.19","$17.17","$34.06"
"70435","NaN","NaN","NaN","$2.25","$9.19","$17.17","$34.06"
"70613","NaN","NaN","NaN","$2.25","$9.19","$17.17","$34.06"
"70614","NaN","NaN","NaN","$2.25","$9.19","$17.17","$34.06"
"70772","NaN","NaN","NaN","$2.25","$9.43","$17.17","$34.06"
"70772","NaN","NaN","NaN","$2.25","$9.43","$17.17","$34.06"
"71497","NaN","NaN","NaN","$2.25","$9.43","$17.17","$34.06"
"71501","NaN","NaN","NaN","$2.25","$9.43","$17.28","$34.06"
"72606","NaN","NaN","NaN","$2.25","$9.51","$17.28","$35.47"
"72607","NaN","NaN","NaN","$2.25","$9.51","$17.28","$35.47"
"73256","NaN","NaN","NaN","$2.25","$9.51","$17.28","$35.47"
"73260","NaN","NaN","NaN","$2.25","$9.51","$22.74","$35.47"
"73492","NaN","NaN","NaN","$3.77","$9.51","$22.74","$35.47"
"73492","NaN","NaN","NaN","$3.77","$9.51","$22.74","$35.47"
"73665","NaN","NaN","NaN","$3.77","$9.51","$22.74","$35.47"
"73675","NaN","NaN","NaN","$3.77","$9.51","$22.74","$35.47"
"74450","NaN","NaN","NaN","$3.77","$9.76","$22.74","$35.47"
"74451","NaN","NaN","NaN","$3.77","$9.76","$22.74","$35.47"
"74797","NaN","NaN","NaN","$3.77","$9.76","$23.57","$35.47"
"74796","NaN","NaN","NaN","$3.77","$9.76","$23.57","$35.47"
"76156","NaN","NaN","NaN","$3.77","$9.76","$23.71","$42.19"
"76157","NaN","NaN","NaN","$3.77","$9.76","$23.71","$42.19"
"76281","NaN","NaN","NaN","$3.77","$11.10","$23.71","$42.19"
"76289","NaN","NaN","NaN","$3.77","$11.10","$23.71","$42.19"
"76549","NaN","NaN","NaN","$4.12","$11.10","$23.71","$42.19"
"76547","NaN","NaN","NaN","$4.12","$11.10","$23.71","$42.19"
"76729","NaN","NaN","NaN","$4.12","$11.10","$23.71","$42.19"
"76729","NaN","NaN","NaN","$4.12","$11.10","$23.71","$42.19"
"77525","NaN","NaN","NaN","$4.12","$11.10","$26.46","$42.19"
"77526","NaN","NaN","NaN","$4.12","$11.10","$26.46","$42.19"
"78121","NaN","NaN","NaN","$4.12","$11.47","$26.46","$42.19"
"78122","NaN","NaN","NaN","$4.12","$11.47","$26.46","$42.19"
"78891","NaN","NaN","NaN","$4.12","$11.47","$27.88","$46.71"
"78892","NaN","NaN","NaN","$4.12","$11.47","$27.88","$46.71"
"79589","NaN","NaN","NaN","$4.38","$11.47","$27.88","$46.71"
"79590","NaN","NaN","NaN","$4.38","$11.47","$27.88","$46.71"
"79773","NaN","NaN","NaN","$4.38","$11.47","$27.88","$46.71"
"79774","NaN","NaN","NaN","$4.38","$11.47","$27.88","$46.71"
"79957","NaN","NaN","NaN","$4.38","$14.78","$27.88","$46.71"
"79957","NaN","NaN","NaN","$4.38","$14.78","$27.88","$46.71"
"80254","NaN","NaN","NaN","$4.38","$14.78","$30.05","$46.71"
"80254","NaN","NaN","NaN","$4.38","$14.78","$30.05","$46.71"
"81626","NaN","NaN","NaN","$4.38","$14.78","$30.05","$53.33"
"81806","NaN","NaN","NaN","$4.38","$16.25","$36.23","$53.33"
"81806","NaN","NaN","NaN","$4.38","$16.25","$36.23","$53.33"
"81806","NaN","NaN","NaN","$4.38","$16.25","$36.23","$53.33"
"82645","NaN","NaN","NaN","$4.55","$16.25","$36.23","$53.33"
"82645","NaN","NaN","NaN","$4.55","$16.25","$36.23","$53.33"
"82836","NaN","NaN","NaN","$4.55","$16.25","$36.23","$53.33"
"82837","NaN","NaN","NaN","$4.55","$16.25","$36.23","$53.33"
"83166","NaN","NaN","NaN","$4.55","$16.25","$36.23","$53.33"
"83638","NaN","NaN","NaN","$4.55","$16.25","$37.58","$53.33"
"83639","NaN","NaN","NaN","$4.55","$18.28","$37.58","$53.33"
"83641","NaN","NaN","NaN","$4.55","$18.28","$37.58","$53.33"
"84998","NaN","NaN","NaN","$4.55","$18.28","$37.58","$59.21"
"85163","NaN","NaN","NaN","$4.55","$18.28","$41.91","$59.21"
"85164","NaN","NaN","NaN","$4.55","$18.28","$41.91","$59.21"
"85687","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"85688","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"85688","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"85886","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"85887","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"86532","NaN","NaN","NaN","$5.41","$19.90","$41.91","$59.21"
"87525","NaN","NaN","NaN","$5.41","$19.90","$59.73","$78.33"
"87525","NaN","NaN","NaN","$5.41","$19.90","$59.73","$78.33"
"88744","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"88745","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"88745","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"88938","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"88950","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"89062","NaN","NaN","NaN","$5.97","$25.80","$59.73","$78.33"
"91031","NaN","NaN","NaN","$5.97","$25.80","$103.24","$129.28"
"91031","NaN","NaN","NaN","$5.97","$25.80","$103.24","$129.28"
"91801","NaN","NaN","NaN","$5.97","$39.47","$103.24","$129.28"
"91806","NaN","NaN","NaN","$6.86","$39.47","$103.24","$129.28"
"91802","NaN","NaN","NaN","$6.86","$39.47","$103.24","$129.28"
"92001","NaN","NaN","NaN","$6.86","$39.47","$103.24","$129.28"
"92011","NaN","NaN","NaN","$6.86","$39.47","$103.24","$129.28"
"92781","NaN","NaN","NaN","$6.86","$39.47","$103.24","$129.28"
"93838","NaN","NaN","NaN","$6.86","$39.47","$103.24","$249.76"
"93843","NaN","NaN","NaN","$7.58","$39.47","$103.24","$249.76"
"94097","NaN","NaN","NaN","$7.58","$39.47","$170.00","$249.76"
"94102","NaN","NaN","NaN","$7.58","$71.18","$170.00","$249.76"
"94098","NaN","NaN","NaN","$7.58","$71.18","$170.00","$249.76"
"95055","NaN","NaN","NaN","$7.58","$71.18","$170.00","$249.76"
"95059","NaN","NaN","NaN","$7.58","$71.18","$170.00","$249.76"
"95370","NaN","NaN","NaN","$10.04","$71.18","$170.00","$249.76"
"95371","NaN","NaN","NaN","$10.04","$71.18","$170.00","$249.76"
"95934","NaN","NaN","NaN","$10.04","$72.03","$170.00","$249.76"
"95934","NaN","NaN","NaN","$10.04","$72.03","$170.00","$249.76"
"96152","NaN","NaN","NaN","$10.04","$72.03","$170.82","$249.76"
"96152","NaN","NaN","NaN","$10.04","$72.03","$170.82","$249.76"
"96903","NaN","NaN","NaN","$16.57","$72.03","$170.82","$390.67"
"96904","NaN","NaN","NaN","$16.57","$72.03","$170.82","$390.67"
"97475","NaN","NaN","NaN","$16.57","$111.15","$170.82","$390.67"
"97477","NaN","NaN","NaN","$16.57","$111.15","$170.82","$390.67"
"98125","NaN","NaN","NaN","$16.57","$111.15","$170.82","$390.67"
"98126","NaN","NaN","NaN","$16.57","$111.15","$170.82","$390.67"
"98189","NaN","NaN","NaN","$16.57","$111.15","$227.34","$379.90"
