"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"78412","$49.30","$88.00","$88.00","$126.70"
"78651","$49.30","$88.00","$126.70","$88.00"
"78651","$49.30","$88.00","$126.70","$88.00"
"79031","$88.00","$88.00","$88.00","$88.00"
"79032","$88.00","$88.00","$88.00","$88.00"
"79032","$88.00","$88.00","$88.00","$88.00"
"79765","$88.00","$88.00","$88.00","$88.00"
"79939","$47.36","$88.00","$88.00","$128.64"
"79940","$47.36","$88.00","$88.00","$128.64"
"80187","$47.36","$88.00","$128.64","$88.00"
"80188","$47.36","$88.00","$128.64","$88.00"
"80565","$79.87","$79.87","$104.25","$88.00"
"80568","$88.00","$88.00","$88.00","$88.00"
"80568","$88.00","$88.00","$88.00","$88.00"
"81211","$88.00","$88.00","$88.00","$88.00"
"81465","$45.33","$88.00","$88.00","$130.67"
"81465","$45.33","$88.00","$88.00","$130.67"
"81721","$45.33","$88.00","$130.67","$88.00"
"81722","$45.33","$88.00","$130.67","$88.00"
"82100","$88.00","$88.00","$88.00","$88.00"
"82101","$88.00","$88.00","$88.00","$88.00"
"82101","$88.00","$88.00","$88.00","$88.00"
"82836","$88.00","$88.00","$88.00","$88.00"
"82987","$70.08","$88.00","$88.00","$105.92"
"82990","$43.20","$88.00","$88.00","$132.80"
"83117","$43.20","$88.00","$132.80","$88.00"
"83116","$43.20","$88.00","$132.80","$88.00"
"83632","$88.00","$88.00","$88.00","$88.00"
"83633","$88.00","$88.00","$88.00","$88.00"
"83634","$88.00","$88.00","$88.00","$88.00"
"84238","$88.00","$88.00","$88.00","$88.00"
"84520","$40.96","$88.00","$88.00","$135.04"
"84519","$40.96","$88.00","$88.00","$135.04"
"84661","$40.96","$88.00","$135.04","$88.00"
"84661","$40.96","$88.00","$135.04","$88.00"
"85162","$88.00","$88.00","$88.00","$88.00"
"85162","$88.00","$88.00","$88.00","$88.00"
"85161","$88.00","$88.00","$88.00","$88.00"
"85774","$88.00","$88.00","$88.00","$88.00"
