"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"101337","NaN","NaN","NaN","$339.40","$2643.86","$9287.89","$23294.77"
"101338","NaN","NaN","NaN","$341.18","$2643.86","$9287.89","$23294.77"
"101339","NaN","NaN","NaN","$341.18","$2643.86","$9287.89","$23294.77"
"101340","NaN","NaN","NaN","$341.18","$6394.94","$9287.89","$23294.77"
"101341","NaN","NaN","NaN","$341.18","$6394.94","$13025.57","$23294.77"
"102124","NaN","NaN","NaN","$341.18","$6394.94","$13025.57","$23294.77"
"102124","NaN","NaN","NaN","$341.18","$6394.94","$13025.57","$23294.77"
"102464","NaN","NaN","NaN","$341.18","$6394.94","$13025.57","$31133.11"
"102569","NaN","NaN","NaN","$341.62","$6394.94","$13025.57","$31133.11"
"102569","NaN","NaN","NaN","$341.62","$6394.94","$13025.57","$31133.11"
"102661","NaN","NaN","NaN","$341.62","$6394.94","$18805.98","$31133.11"
"102665","NaN","NaN","NaN","$341.62","$8406.46","$18805.98","$31133.11"
"102661","NaN","NaN","NaN","$341.62","$8406.46","$18805.98","$31133.11"
"103704","NaN","NaN","NaN","$341.62","$8406.46","$18805.98","$39187.53"
"103804","NaN","NaN","NaN","$1179.88","$8406.46","$18805.98","$39187.53"
"103805","NaN","NaN","NaN","$1179.88","$8406.46","$18805.98","$39187.53"
"103816","NaN","NaN","NaN","$1179.88","$8406.46","$23982.01","$39187.53"
"103820","NaN","NaN","NaN","$1179.88","$10521.99","$23982.01","$39187.53"
"103816","NaN","NaN","NaN","$1179.88","$10521.99","$23982.01","$39187.53"
"104770","NaN","NaN","NaN","$1179.88","$10521.99","$23982.01","$39187.53"
"104844","NaN","NaN","NaN","$1179.88","$10521.99","$23982.01","$39187.53"
"104848","NaN","NaN","NaN","$1179.88","$10521.99","$26216.48","$39187.53"
"105035","NaN","NaN","NaN","$1181.82","$11361.02","$26216.48","$39187.53"
