"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"91854","$9324.92","$22488.73","$36585.34","$56456.85"
"91943","$9324.92","$22488.73","$51232.75","$41809.44"
"91943","$9324.92","$22488.73","$51232.75","$41809.44"
"93057","$9324.92","$22488.73","$51232.75","$41809.44"
"93160","$9324.92","$22488.73","$51232.75","$41809.44"
"93164","$9324.92","$22488.73","$51232.75","$41809.44"
"94193","$9324.92","$22488.73","$51232.75","$41809.44"
"94196","$9324.92","$22488.73","$51232.75","$41809.44"
"94686","$11873.55","$29078.52","$42094.33","$41809.44"
"94687","$11873.55","$29078.52","$42094.33","$41809.44"
"94687","$11873.55","$29078.52","$42094.33","$41809.44"
"94965","$11873.55","$29078.52","$42094.33","$84092.92"
"94965","$11873.55","$29078.52","$42094.33","$84092.92"
"95730","$11873.55","$29078.52","$42094.33","$84092.92"
"95730","$11873.55","$29078.52","$42094.33","$84092.92"
"96224","$11873.55","$29078.52","$80179.58","$46007.68"
"96224","$11873.55","$29078.52","$80179.58","$46007.68"
"96500","$11873.55","$29078.52","$80179.58","$46007.68"
"96500","$11873.55","$29078.52","$80179.58","$46007.68"
"97343","$11873.55","$29078.52","$80179.58","$101362.23"
"97515","$11873.55","$29078.52","$80179.58","$101362.23"
"97515","$11873.55","$29078.52","$80179.58","$101362.23"
"97744","$11873.55","$55445.23","$53812.87","$101362.23"
"97747","$14446.36","$52872.42","$53812.87","$101362.23"
"97745","$14446.36","$52872.42","$53812.87","$101362.23"
"99040","$14446.36","$52872.42","$53812.87","$101362.23"
"99041","$14446.36","$52872.42","$53812.87","$101362.23"
"99589","$14446.36","$52872.42","$146691.74","$8483.36"
"99589","$14446.36","$52872.42","$146691.74","$8483.36"
"99789","$14446.36","$79311.01","$120253.16","$8483.36"
"99794","$17840.39","$75916.98","$120253.16","$8483.36"
"99790","$17840.39","$75916.98","$120253.16","$8483.36"
"100838","$17840.39","$75916.98","$120253.16","$68681.17"
"101337","$17840.39","$75916.98","$120253.16","$278334.14"
"101338","$21252.17","$72505.20","$120253.16","$278334.14"
"101339","$21252.17","$72505.20","$120253.16","$278334.14"
"101340","$21252.17","$136454.58","$56303.78","$278334.14"
"101341","$21252.17","$136454.58","$186559.44","$148078.48"
"102124","$21252.17","$136454.58","$186559.44","$148078.48"
"102124","$21252.17","$136454.58","$186559.44","$148078.48"
"102464","$21252.17","$136454.58","$186559.44","$303744.03"
"102569","$24668.38","$133038.36","$186559.44","$459409.58"
"102569","$24668.38","$133038.36","$186559.44","$459409.58"
"102661","$24668.38","$133038.36","$374619.19","$271349.83"
"102665","$24668.38","$217102.93","$290554.62","$271349.83"
"102661","$24668.38","$217102.93","$290554.62","$271349.83"
"103704","$24668.38","$217102.93","$290554.62","$388912.42"
"103804","$36467.21","$205304.11","$290554.62","$388912.42"
"103805","$36467.21","$205304.11","$290554.62","$388912.42"
"103816","$36467.21","$205304.11","$530374.71","$149092.33"
"103820","$36467.21","$310523.99","$425154.82","$149092.33"
"103816","$36467.21","$310523.99","$425154.82","$149092.33"
"104770","$36467.21","$310523.99","$425154.82","$149092.33"
"104844","$36467.21","$310523.99","$425154.82","$149092.33"
"104848","$36467.21","$310523.99","$687319.66","-$113072.51"
"105035","$48285.40","$400954.94","$573709.50","-$113072.51"
"105036","$48285.40","$400954.94","$573709.50","-$113072.51"
"105036","$48285.40","$400954.94","$573709.50","-$113072.51"
"105188","$48285.40","$400954.94","$573709.50","-$113072.51"
"105188","$48285.40","$400954.94","$573709.50","-$113072.51"
"105733","$48285.40","$400954.94","$573709.50","-$113072.51"
"106067","$48285.40","$400954.94","$874161.77","-$413524.78"
"106068","$48285.40","$400954.94","$874161.77","-$413524.78"
"106279","$78448.87","$485574.08","$759379.16","-$413524.78"
"106280","$78448.87","$485574.08","$759379.16","-$413524.78"
"106280","$78448.87","$485574.08","$759379.16","-$413524.78"
"106895","$78448.87","$485574.08","$759379.16","$1039598.01"
"107307","$78448.87","$485574.08","$1197882.40","$601094.76"
"107307","$78448.87","$485574.08","$1197882.40","$601094.76"
"107501","$128878.52","$640906.03","$992120.80","$601094.76"
"107502","$128878.52","$640906.03","$992120.80","$601094.76"
"107502","$128878.52","$640906.03","$992120.80","$601094.76"
"108127","$128878.52","$640906.03","$992120.80","$601094.76"
"108244","$128878.52","$640906.03","$992120.80","$601094.76"
"108244","$128878.52","$640906.03","$992120.80","$601094.76"
"108529","$128878.52","$640906.03","$1521789.04","$71426.53"
"108530","$128878.52","$640906.03","$1521789.04","$71426.53"
"108731","$216023.31","$781942.97","$1293607.32","$71426.53"
"108731","$216023.31","$781942.97","$1293607.32","$71426.53"
"108731","$216023.31","$781942.97","$1293607.32","$71426.53"
"109353","$216023.31","$781942.97","$1293607.32","$71426.53"
"109763","$216023.31","$781942.97","$1849896.40","-$484862.56"
"109763","$216023.31","$781942.97","$1849896.40","-$484862.56"
"109969","$216023.31","$1154257.83","$1477581.55","$2057083.86"
"109970","$216023.31","$1154257.83","$1477581.55","$2057083.86"
"110590","$216023.31","$1154257.83","$1477581.55","$2770014.64"
"110911","$216023.31","$1154257.83","$2553610.11","$1693986.07"
"110911","$216023.31","$1154257.83","$2553610.11","$1693986.07"
"111316","$399993.67","$970287.46","$2553610.11","$1693986.07"
"111316","$399993.67","$970287.46","$2553610.11","$1693986.07"
"111316","$399993.67","$970287.46","$2553610.11","$1693986.07"
"111681","$399993.67","$970287.46","$2553610.11","$1693986.07"
"112843","$399993.67","$1851668.39","$1672229.18","$1693986.07"
"112844","$399993.67","$1851668.39","$1672229.18","$1693986.07"
"113864","$399993.67","$1851668.39","$5022506.34","$1228968.43"
"113864","$399993.67","$1851668.39","$5022506.34","$1228968.43"
"114372","$678816.41","$1572845.66","$5022506.34","$1228968.43"
"114376","$678816.41","$1572845.66","$5022506.34","$1228968.43"
"114375","$678816.41","$1572845.66","$5022506.34","$1228968.43"
"114635","$678816.41","$1572845.66","$5022506.34","$9051724.09"
"115914","$678816.41","$1572845.66","$5022506.34","$9051724.09"
"115917","$678816.41","$1572845.66","$5022506.34","$9051724.09"
"116422","$678816.41","$5392326.82","$1203025.18","$9051724.09"
"116423","$1689453.85","$4381689.37","$1203025.18","$9051724.09"
"116422","$1689453.85","$4381689.37","$1203025.18","$9051724.09"
"116943","$1689453.85","$4381689.37","$1203025.18","$9051724.09"
"116944","$1689453.85","$4381689.37","$1203025.18","$9051724.09"
"117449","$1689453.85","$4381689.37","$15814331.28","-$5559582.01"
"117450","$1689453.85","$4381689.37","$15814331.28","-$5559582.01"
"117946","$1689453.85","$7444420.25","$12751600.40","-$5559582.01"
"117951","$2700748.42","$6433125.68","$12751600.40","-$5559582.01"
"117947","$2700748.42","$6433125.68","$12751600.40","-$5559582.01"
"117966","$2700748.42","$6433125.68","$12751600.40","-$5559582.01"
"117966","$2700748.42","$6433125.68","$12751600.40","-$5559582.01"
"118276","$2700748.42","$6433125.68","$12751600.40","$27726361.01"
"118877","$2700748.42","$6433125.68","$35917064.91","$4560896.50"
"118877","$2700748.42","$6433125.68","$35917064.91","$4560896.50"
"118990","$2700748.42","$6433125.68","$35917064.91","$4560896.50"
"118990","$2700748.42","$6433125.68","$35917064.91","$4560896.50"
"119180","$2700748.42","$16092744.06","$26257446.54","$4560896.50"
"119181","$3708100.31","$15085392.17","$26257446.54","$4560896.50"
"119180","$3708100.31","$15085392.17","$26257446.54","$4560896.50"
"119699","$3708100.31","$15085392.17","$26257446.54","$9971030.74"
"120020","$3708100.31","$15085392.17","$64944130.47","-$1664982.01"
"120021","$3708100.31","$15085392.17","$64944130.47","-$1664982.01"
"120026","$3708100.31","$15085392.17","$64944130.47","-$1664982.01"
"120028","$3708100.31","$15085392.17","$64944130.47","-$1664982.01"
"120198","$3708100.31","$30008420.08","$50021102.56","-$1664982.01"
"120203","$8002785.82","$25713734.57","$50021102.56","-$1664982.01"
"120199","$8002785.82","$25713734.57","$50021102.56","-$1664982.01"
"120790","$8002785.82","$25713734.57","$50021102.56","-$1664982.01"
"120978","$8002785.82","$25713734.57","$91757607.05","-$43401486.51"
"120982","$8002785.82","$25713734.57","$91757607.05","-$43401486.51"
"121053","$8002785.82","$25713734.57","$91757607.05","-$43401486.51"
"121053","$8002785.82","$25713734.57","$91757607.05","-$43401486.51"
"121083","$14989974.19","$37233065.29","$73251087.97","-$43401486.51"
"121083","$14989974.19","$37233065.29","$73251087.97","-$43401486.51"
"121083","$14989974.19","$37233065.29","$73251087.97","-$43401486.51"
"121711","$14989974.19","$37233065.29","$73251087.97","-$43401486.51"
"121796","$14989974.19","$37233065.29","$116639332.02","-$86789730.56"
"121798","$14989974.19","$37233065.29","$116639332.02","-$86789730.56"
"121966","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"121967","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"121967","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"122088","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"122088","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"122499","$22052147.02","$51552256.93","$95257967.55","-$86789730.56"
"122682","$22052147.02","$51552256.93","$143850709.89","-$135382472.90"
"122683","$22052147.02","$51552256.93","$143850709.89","-$135382472.90"
"122858","$29107503.07","$72867107.87","$115480502.89","$123124285.69"
"122858","$29107503.07","$72867107.87","$115480502.89","$123124285.69"
"122857","$29107503.07","$72867107.87","$115480502.89","$123124285.69"
"123120","$29107503.07","$72867107.87","$115480502.89","$123124285.69"
"123120","$29107503.07","$72867107.87","$115480502.89","$123124285.69"
"123344","$29107503.07","$72867107.87","$115480502.89","$206839814.58"
"123581","$29107503.07","$72867107.87","$196634348.02","$125685969.46"
"123581","$29107503.07","$72867107.87","$196634348.02","$125685969.46"
"123744","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"123745","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"123745","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"124148","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"124149","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"124239","$39509370.87","$97131558.72","$161968029.37","$125685969.46"
"124470","$39509370.87","$97131558.72","$249161433.24","$38492565.58"
"124470","$39509370.87","$97131558.72","$249161433.24","$38492565.58"
"124633","$53063752.16","$121818864.33","$210919746.35","$38492565.58"
